article_url,article_text,article_date_created,article_date_updated
https://www.thejournal.ie/theresa-may-meltdown-4540958-Mar2019/,"LAST NIGHT, THE House of Commons voted against a no-deal Brexit.
But the vote wasn’t straightforward as Prime Minister Theresa Maylost control over her own partyas MPs voted on a series of amendments before the main vote.
After last night’s chaos, today will see yet another vote in Westminster as parliament now votes on whether to delay Brexit until the end of June.
And, as if back from the dead, May has signalled her intentions to bring back her withdrawal agreement and put it to a vote AGAIN – after it was soundly defeated twice already.
This morning’s papers in the UK took largely similar takes on the latest Brexit debacle.
No fewer than three newspapers opted for the word meltdown in their front page headlines.
The Times of London described a “Brexit meltdown” where “May’s deal [is] back from the dead”. The paper also says May will have secret talks with the DUP and Brexiteers to secure some compromise.

The I leads simply with “meltdown”, with 13 pages of coverage of last night’s events inside.
Advertisement

The Daily Mirror also goes with “meltdown” and says rebel ministers inflicted another “humiliating defeat” on the prime minister.

In its headline, the Daily Mail said that “chaos reigns”, and adds that May lost control after “ministers’ mass revolt to rule out no deal”.

The Guardian go with “May’s final warning to Tory rebels: back me or lose Brexit”.

In the Daily Telegraph, it says: “Brexit delayed until further notice after gang of four rebels.”

The Daily Express, meanwhile, describes a “defiant May” and headlines the front page with “don’t let EU bullies win the day”.

Readers like you are keeping these stories free for everyone...A mix of advertising and supporting contributions helps keep paywalls away from valuable information like this article.Over 5,000 readers like you have already stepped up and support us with a monthly payment or a once-off donation.Learn MoreSupport The Journal","7.29am, 14 Mar 2019",
https://www.thejournal.ie/brexit-border-coveney-4556726-Mar2019/,"TÁNAISTE SIMON COVENEY has said there have been no formal discussions with the European Commission about how to prevent a hard border in Ireland, though he said they have “thought about” it.
The only way to avoid it would be to have regulatory alignment, but he said the they are still advocating for the backstop.
Pressure has been racketing up in the last week with a strict deadline of dates being given to UK Prime Minister Theresa May to get a deal done.
As the clock ticks on, the big questions about border infrastructure in a no-deal scenario are still largely unanswered.
Asked whether the EU Commission has thought about such a scenario, Coveney answered that there have certainly been “conversations around this, but there has been no formal discussion or negotiation as to how it would work”.
He went on to state that whether there is a deal or no-deal, the way to resolve the border issues will be some form of regulatory alignment.
No-deal
The Tánaiste went further in stating that “in fact arguably I would say the British Government has the prime responsibility here, because of course it is British government policy that has led to this challenge in the first place, insisting on leaving the customs union and the single market, which of course shaped the design of the backstop in the first place, which is as much a British creation as it is an EU one”.
Advertisement
Coveney speaking about the need for some sort of regulatory alignment though he says they are still advocating for the backstoppic.twitter.com/z75xkR6Qts— Christina Finn (@christinafinn8)March 22, 2019Christina Finn/ Twitter
Coveney speaking about the need for some sort of regulatory alignment though he says they are still advocating for the backstoppic.twitter.com/z75xkR6Qts
In a no-deal scenario, discussions with Britain, Ireland and the EU will have to take place.
“There will need to be a solution on the border question, we know that a backstop is the only solution that works, so there will be an onus on all three parties to work together to find a way of preventing a physical border infrastructure which causes unnecessary tension between the two jurisdictions on the island of Ireland,” he said.
“We have clear commitments that go back to December 2017 and I think all parties will have an obligation to work intensively to come up solutions that can work. It’s possible to do that, we have shown that in the context of the back stop, but there will have to three willing partners.”
The Tánaiste would not be drawn on the issue of a special taskforce being set up to deal with the possibility of a hard border. This follows reports that German Chancellor Angela Merkel asked EU chief Brexit negotiator Michel Barnier to examine backup plan to uphold the Good Friday Agreement in a no-deal situation.
The Taoiseach has insisted a specialist taskforce has not been set up to address the issue of the border.
Coveney said the questions are the same even in a no-deal scenario.
“We still have to protect a functioning all-island economy that reinforces a peace process. Northern Ireland is part of the UK and that’s not changing but we have to find a way of protecting the EU single market and a the same time preventing physical border infrastructure,” said Coveney.
“We have a proposal that has been agreed between the British Government and the EU, it’s called the backstop.”
Readers like you are keeping these stories free for everyone...A mix of advertising and supporting contributions helps keep paywalls away from valuable information like this article.Over 5,000 readers like you have already stepped up and support us with a monthly payment or a once-off donation.Learn MoreSupport The Journal","8.21pm, 22 Mar 2019",
https://www.thejournal.ie/brexit-poll-6-4474331-Feb2019/,"WRITING IN THE Sunday Telegraph today, UK Prime Minister Theresa May says she intends re-negotiating with Brussels in an attempt to end the Brexit deadlock.
Maysuggests she will seek either an “alternative” to the backstop, or a time limit or unilateral exit mechanism to allow the UK to leave the backstop.
Advertisement
The EU has already rejected a renegotiation of the agreed deal and Ireland has stated that a time-limited backstop would be useless because it would not ensure a hard border is avoided in the long run.
Despite this, if the Irish government prioritises avoiding a no-deal Brexit, it may come under pressure to make concessions on the backstop to avoid a no-deal Brexit. But should they?
Poll:Would conceding on the backstop be worth it to avoid a no-deal Brexit?Poll Results:No(13142)Yes(2573)Don't know(1268)YesNoDon't knowVote","12.07pm, 3 Feb 2019",
https://www.thejournal.ie/no-deal-brexit-4-4539160-Mar2019/,"LAST UPDATE|13 Mar 2019
MPS HAVE HELD a crucial vote on whether to back a no-deal Brexit.
They voted against it in the end, but it was a confusing path to get there.
It’s important to remember that even though they’ve voted against a no-deal Brexit, that that isn’t a legally binding decision.
Prime Minister Theresa May told the House of Commons yesterday that without a deal, the default position is still leaving on the 29 March without a deal.
Here are the highlights from today:
Stay with us as we bring you the final result, reaction to it and what it means.
13 Mar 201912:28PMIt’s Seán Murray here with you this afternoon and feel free to get in touch by commenting below, emailing sean@thejournal.ie, or tweeting me at @seanmjourno.First, let’s catch you up with what’s been happening already today…13 Mar 201912:31PMAfter the latest crushing defeat for Theresa May last night, the UK government publishedits plans for trade in the event of a no-deal Brexit early this morning.It says there will be no new checks or controls on goods moving from Ireland to Northern Ireland in the event of a no-deal Brexit.No import tariffs will apply to such goods in the immediate aftermath of a 29 March exit.However, tariffs will apply to goods on the way into mainland UK.And it is these tariffs on the likes of beef, lamb and poultry that have caused dismay in Ireland.Irish Farmers’ Association Joe Healy said the beef industry, in particular, “will not survive the kind of tariffs being talked about”.“We export over 50% of our beef to the UK.  If this is subject to tariffs, it will be a ‘direct hit’ of almost €800m on the sector,” he said.13 Mar 201912:35PMFrom midday, Brexit was the topic of debate in both the House of Commons and in the Dáil when leaders questions got under way.Fianna Fáil’s Micheál Martin asked about the tariff proposals from the UK government, saying it would be devastating for the Irish economy.With the Taoiseach in Washington, Tánaiste Simon Coveney acknowledged that tariffs would be ”damaging to businesses, farmers and consumers, whether in Ireland or the UK”.He added the government will study any proposals carefully.Martin points out the Dáil won't be meeting again until three days before the end of March (the Brexit deadline). ""This parliament will meet if it has to,"" Coveney replies.pic.twitter.com/yTpgbKNl0x— TheJournal Politics (@TJ_Politics)March 13, 2019TheJournal Politics/ Twitter
It’s Seán Murray here with you this afternoon and feel free to get in touch by commenting below, emailing sean@thejournal.ie, or tweeting me at @seanmjourno.
First, let’s catch you up with what’s been happening already today…
After the latest crushing defeat for Theresa May last night, the UK government publishedits plans for trade in the event of a no-deal Brexit early this morning.
It says there will be no new checks or controls on goods moving from Ireland to Northern Ireland in the event of a no-deal Brexit.
No import tariffs will apply to such goods in the immediate aftermath of a 29 March exit.
However, tariffs will apply to goods on the way into mainland UK.
And it is these tariffs on the likes of beef, lamb and poultry that have caused dismay in Ireland.
Irish Farmers’ Association Joe Healy said the beef industry, in particular, “will not survive the kind of tariffs being talked about”.
“We export over 50% of our beef to the UK.  If this is subject to tariffs, it will be a ‘direct hit’ of almost €800m on the sector,” he said.
From midday, Brexit was the topic of debate in both the House of Commons and in the Dáil when leaders questions got under way.
Fianna Fáil’s Micheál Martin asked about the tariff proposals from the UK government, saying it would be devastating for the Irish economy.
With the Taoiseach in Washington, Tánaiste Simon Coveney acknowledged that tariffs would be ”damaging to businesses, farmers and consumers, whether in Ireland or the UK”.
He added the government will study any proposals carefully.
Martin points out the Dáil won't be meeting again until three days before the end of March (the Brexit deadline). ""This parliament will meet if it has to,"" Coveney replies.pic.twitter.com/yTpgbKNl0x— TheJournal Politics (@TJ_Politics)March 13, 2019TheJournal Politics/ Twitter
Martin points out the Dáil won't be meeting again until three days before the end of March (the Brexit deadline). ""This parliament will meet if it has to,"" Coveney replies.pic.twitter.com/yTpgbKNl0x","12.24pm, 13 Mar 2019",13 Mar 2019
https://www.thejournal.ie/british-passport-european-union-4580013-Apr2019/,"UK PASSPORT OFFICIALS have begun to issue passports without the words “European Union”, despite the country still remaining part of the bloc.
The UK was scheduled to leave the European Union last week on 29 March but the departure has been delayed, leaving passport officials in somewhat of a limbo.
Passport officials had been planning based on the 29 March date and so the following day was when the change was to be implemented.
“Burgundy passports that no longer include the words ‘European Union’ on the front cover will be introduced from 30 March 2019,” HM Passport Office said inguidance on its website.
The short period in which both may be issued is due to cost-saving measures, a spokesperson added.
“In order to use leftover stock and achieve best value for the taxpayer, passports that include the words ‘European Union’ will continue to be issued for a short period,” the spokesperson said.
Advertisement
British passport holder Susan Hindle Barone is among those who have shared images of their new passports without the words “European Union”.
TRULY APPALLED. Picked up my new passport today - my old one expires in the next couple of months. See below: Spot the difference!pic.twitter.com/R7BW9lk6I5— SusanHB 🕷 (@SHBarone)April 5, 2019Susan Hindle Barone/ Twitter
TRULY APPALLED. Picked up my new passport today - my old one expires in the next couple of months. See below: Spot the difference!pic.twitter.com/R7BW9lk6I5
In a series of tweets, Barone said she was “truly appalled” at the change andtold The Guardianthat it was “the first tangible sign of us leaving the EU”.
HM Passport Office has also been dealing with numerous queries from passport holders about what the presence or absence of the words “European Union” will mean.
The officials said the words being on the passport does not make a difference.
“There will be no difference for British citizens whether they are using a passport that includes the words European Union, or a passport that does not include the words European Union. Both designs will be equally valid for travel,” the passport office said.
The issue of passports has been an ongoing one in the Brexit debate with HM Passport Office confirming in late 2017that UK passports would be changing to a blue design.
The blue passports are to begin being issued from late 2019.
Readers like you are keeping these stories free for everyone...A mix of advertising and supporting contributions helps keep paywalls away from valuable information like this article.Over 5,000 readers like you have already stepped up and support us with a monthly payment or a once-off donation.Learn MoreSupport The Journal","12.10pm, 6 Apr 2019",
https://www.thejournal.ie/independent-group-2-4503269-Feb2019/,"LAST UPDATE|20 Feb 2019
THREE CONSERVATIVE MPS have quit Theresa May’s party to join the newly formed Independent Group.
Heidi Allen, Sarah Wollaston and Anna Soubry have confirmed their departure from Theresa May’s party this morning, dealing a serious blow to the Prime Minister.
The Independent Group was formed by seven breakaway Labour politicians on Monday, who had said they wouldtry to tempt Conservatives to the new parliamentary grouping.
Confirming her decision this morning, Soubry said that her party had “shifted to the right”.
“We no longer feel we can remain in the party of a government whose policies and priorities are so firmly in the grip of the ERG and DUP,” Soubry said in a letter to May.
It is with a heavy heart I have today resigned from the Conservative Party.pic.twitter.com/wzPUB84w5Z— Anna Soubry 🇬🇧🏴󠁧󠁢󠁥󠁮󠁧󠁿🇺🇦🇪🇺🖤🤍 (@Anna_Soubry)February 20, 2019Anna Soubry MP/ Twitter
It is with a heavy heart I have today resigned from the Conservative Party.pic.twitter.com/wzPUB84w5Z
Soubry wrote the MPs intedend to continue to support the government on some matters.
“We intend to sit as independents alongside The Independent Group of MPs in the centre ground of British politics. There will be times when we will support the government, for example, on measures to strengthen our economy, security and improve our public services,” she said.
Advertisement
Responding to the departing MPs in a series of tweets, May expressed disappointment at their decision.
“I am saddened by this decision – these are people who have given dedicated service to our party over many years, and I thank them for it,” May said.
“But by delivering on our manifesto commitment and implementing the decision of the British people we are doing the right thing for our country. And in doing so, we can move forward together towards a brighter future.”
Earlier today, Joan Ryan became the eighth former Labour MP to leave the party to join The Independent Group.
Ina Times/YouGov poll, weighted by likelihood to vote, 38% said they would vote for the Tory party, 26% said that they would vote for Labour, and The Independent Group has already gathered 14%.
As politicians took their seats in the House of Commons at noon today for Prime Minister’s Questions, the former Tory MPs sat beside DUP MP Ian Paisley Junior.

Responding to questions, May responded to Jeremy Corbyn’s request to rule out a no-deal Brexit by saying there were two ways of doing that: to agree to a Brexit deal or to remain in the European Union.
A slightly strange atmosphere at#pmqsas neither May or Corbyn can effectively attack the other over resignations as both parties have experienced them— Sophy Ridge (@SophyRidgeSky)February 20, 2019Sophy Ridge/ Twitter
A slightly strange atmosphere at#pmqsas neither May or Corbyn can effectively attack the other over resignations as both parties have experienced them
She also added that Honda’s decision to move its Swindon factory to Japan wasn’t related to Brexit, but due to changes to the car manufacturing industry, which prompted jeers and shouts from MPs.
Readers like you are keeping these stories free for everyone...A mix of advertising and supporting contributions helps keep paywalls away from valuable information like this article.Over 5,000 readers like you have already stepped up and support us with a monthly payment or a once-off donation.Learn MoreSupport The Journal","11.21am, 20 Feb 2019",20 Feb 2019
https://www.thejournal.ie/mary-lou-brexit-impasse-4453083-Jan2019/,"MARY LOU MCDONALD has said that the Brexit impasse is a “specifically English” issue and that the return of Stormont would not solve it.
The Sinn Féin leader also said this afternoon that the Irish government must not blink in the face of “pressure tactics” from London.
McDonald was speaking in the wake of the failure of the UK parliament to back Prime Minister Theresa May’s Brexit deal last week and the poorreaction from Europe to the proposalsshe made yesterday.
“I think it is very concerning that Mrs May hasn’t removed the option of a no-deal from the table. I think that as each week passes, we come perilously closer to the prospect of a crash Brexit,” McDonald told reported.
McDonald also criticised the government’s planning for a no-deal Brexit, calling it “pretty threadbare”.
“It’s imperative that there is sufficient contingency planning, that there should be a state of readiness should there be a crash, a hard Brexit.”
Advertisement
McDonald was also asked whether having Stormont up and running, even temporarily, would be helpful in demonstrating opposition in Northern Ireland to the DUP’s Brexit position.
McDonald said that while she supports a return of the executive, doing it without resolving the wider issues between her party and the DUP would not be helpful.
“This is a much bigger political play that is in the first instance is specifically English, this is about English politics in the first instance and then British politics more generally,” she said.
McDonald added that the backstop issue, which has proved  to be the biggest stumbling block among Westminster MPs, was designed in part by the British government.
“The backstop is already positioned as ’unless or until’, that’s hardwired into it. Bear in mind this Irish protocol of the backstop was very much crafted to the pallet of the British political system, they haven’t had this foisted on them. This is something that they have been very much involved in creating,” she said.
“That is why we have the backstop, and I think the challenge for the British system is to accept that.”
McDonald also said that British politicians have already been afforded reassurances from the EU that backstop will only come into force if no other arrangement can be made.
Readers like you are keeping these stories free for everyone...A mix of advertising and supporting contributions helps keep paywalls away from valuable information like this article.Over 5,000 readers like you have already stepped up and support us with a monthly payment or a once-off donation.Learn MoreSupport The Journal","1.33pm, 22 Jan 2019",
https://www.thejournal.ie/meps-brexit-seats-ireland-4661575-May2019/,"MEPS ELECTED TO the ‘cold storage’ European Parliament seats will have no status assigned to them and will have no salary, expenses or facilities given to them until the UK leaves the EU, the European Parliament Liaison Office in Dublin has confirmed.
This impacts the fourth candidate elected in Dublin, Fianna Fáil’s Barry Andrews as well as the last person elected in Ireland South. Three seats are yet to be filled in Ireland South.
Ireland was allotted the additional two seats as part of the redistribution of seats due to the UK’s vote to leave the European Union.
An additional seat was granted to the Dublin constituency, bringing it to a four seater. Meanwhile, the Ireland South constituency was increased to a five seater. The Midlands North-West constituency remained a four seater.
Ahead of the elections, questions arose about what the MEPs would be entitled to before being allowed take their seats.
Whether the two elected candidates are entitled to a salary and expenses while their seats are in limbo due to Brexit is a matter “for the European Commission to clarify and decide on”, a government spokesperson said in February.
Questions about what MEPs elected in the “cold storage” would be entitled to arose again after Andrews won the fourth seat on Tuesday.
Advertisement
Speaking to reporters, Andrews said he wasn’t sure what “interim arrangements” would be made, but said he would “get on with life” until he could take his seat post-Brexit.
Andrews says he doesn’t know what the interim arrangements are for MEPs who have to wait for Brexit before they can take their seats#EP2019pic.twitter.com/vMqlvDL9w4— Christina Finn (@christinafinn8)May 28, 2019Christina Finn/ Twitter
Andrews says he doesn’t know what the interim arrangements are for MEPs who have to wait for Brexit before they can take their seats#EP2019pic.twitter.com/vMqlvDL9w4
He said 50 MEPs across the EU are in the same position, adding that the situation is “unprecedented”.
On Tuesday, he said the European Commission would have to make “some kind of decision on what the status of the people in that position” might be until Brexit actually happens.
Today, the European Parliament Liaison Office in Dublin clarified its position saying in a statement that the “legal basis for the European election this weekend in both Irish and EU law is that 751 MEPs will be returned, including eleven from Ireland”.
It confirmed that the MEPs in the Brexit ‘cold storage’ seats will have no status, salary, facilities or expenses.
It added:
A spokesperson for the Minister for Housing, Planning and Local Government Eoghan Murphy said the department “awaits direction from the Commission” on the matter.
Readers like you are keeping these stories free for everyone...A mix of advertising and supporting contributions helps keep paywalls away from valuable information like this article.Over 5,000 readers like you have already stepped up and support us with a monthly payment or a once-off donation.Learn MoreSupport The Journal","3.16pm, 30 May 2019",
https://www.thejournal.ie/front-pages-brexit-vote-4538557-Mar2019/,"BRITISH PRIME MINISTER Theresa May suffered another Brexit loss last night, with the House of Commons again voting against the Withdrawal Agreement struck between her government and the European Union.
Despite additional assurances about the backstop element of the deal, legal advice from Attorney General Geoffrey Cox yesterday added to the likelihood it would be rejected once more.
In the end, it was voted down by 391 votes to 242 –a loss of 149.
MPs will today vote on whether Britain should leave the EU without a deal, and there will be a further possible vote on extending Article 50 – delaying Brexit – tomorrow.
On foot of her latest defeat, May features on the front page of many British newspapers today.
Some of the headlines include the phrases The House of Fools, Out of Control, Driven to Despair and Croaky Horror Show (referencing May’s sore throat as she spoke yesterday).
Advertisement
The Guardian front page, Wednesday 13 March 2019: Another huge defeat for May. And just 16 days until Brexitpic.twitter.com/fM1zuXRsA2— The Guardian (@guardian)March 12, 2019The Guardian/ Twitter
The Guardian front page, Wednesday 13 March 2019: Another huge defeat for May. And just 16 days until Brexitpic.twitter.com/fM1zuXRsA2
Wednesday’s TIMES: “Driven to despair”#bbcpapers#tomorrowspaperstodaypic.twitter.com/aWkg4rEkco— Allie Hodgkins-Brown (@AllieHBNews)March 12, 2019Allie Hodgkins-Brown/ Twitter
Wednesday’s TIMES: “Driven to despair”#bbcpapers#tomorrowspaperstodaypic.twitter.com/aWkg4rEkco
The front page of tomorrow's Daily Telegraph 'May clings on despite a second humiliating defeat'#tomorrowspaperstodaypic.twitter.com/BdOouQqBXI— The Telegraph (@Telegraph)March 12, 2019The Telegraph/ Twitter
The front page of tomorrow's Daily Telegraph 'May clings on despite a second humiliating defeat'#tomorrowspaperstodaypic.twitter.com/BdOouQqBXI
Tomorrow's front page: Theresa May's rejigged Brexit plan croaked after hardline Tory MP's inflicted another devastating defeat.https://t.co/NSLxFZWNbHpic.twitter.com/0YDHTyak2Q— The Sun (@TheSun)March 12, 2019The Sun/ Twitter
Tomorrow's front page: Theresa May's rejigged Brexit plan croaked after hardline Tory MP's inflicted another devastating defeat.https://t.co/NSLxFZWNbHpic.twitter.com/0YDHTyak2Q
Wednesday’s i - “Out of control”#bbcpapers#tomorrowspaperstodaypic.twitter.com/BSMvT63Fbg— Allie Hodgkins-Brown (@AllieHBNews)March 12, 2019Allie Hodgkins-Brown/ Twitter
Wednesday’s i - “Out of control”#bbcpapers#tomorrowspaperstodaypic.twitter.com/BSMvT63Fbg
Wednesday’s FT: “May loses control of Brexit after MPs throw out revamped deal”#bbcpapers#tomorrowspaperstoday(via@AllieHBNews)pic.twitter.com/izXTYvq2HJ— BBC News (UK) (@BBCNews)March 12, 2019BBC News (UK)/ Twitter
Wednesday’s FT: “May loses control of Brexit after MPs throw out revamped deal”#bbcpapers#tomorrowspaperstoday(via@AllieHBNews)pic.twitter.com/izXTYvq2HJ
Wednesday’s Daily MAIL: “The House Of Fools”#bbcpapers#tomorrowspaperstodaypic.twitter.com/3R3mq96J6E— Allie Hodgkins-Brown (@AllieHBNews)March 12, 2019Allie Hodgkins-Brown/ Twitter
Wednesday’s Daily MAIL: “The House Of Fools”#bbcpapers#tomorrowspaperstodaypic.twitter.com/3R3mq96J6E
Here's tomorrow's@Daily_Expressfront page:- How much more of this can Britain take?#TomorrowsPapersTodaypic.twitter.com/Oj6Ou8nb38— Daily Express (@Daily_Express)March 12, 2019Daily Express/ Twitter
Here's tomorrow's@Daily_Expressfront page:- How much more of this can Britain take?#TomorrowsPapersTodaypic.twitter.com/Oj6Ou8nb38
Tomorrow's front page: Brexit delay mayhem#tomorrowspaperstodayhttps://t.co/9pDVQqfl93pic.twitter.com/qcjZYOigx6— The Mirror (@DailyMirror)March 12, 2019Daily Mirror/ Twitter
Tomorrow's front page: Brexit delay mayhem#tomorrowspaperstodayhttps://t.co/9pDVQqfl93pic.twitter.com/qcjZYOigx6
Readers like you are keeping these stories free for everyone...A mix of advertising and supporting contributions helps keep paywalls away from valuable information like this article.Over 5,000 readers like you have already stepped up and support us with a monthly payment or a once-off donation.Learn MoreSupport The Journal","7.11am, 13 Mar 2019",
https://www.thejournal.ie/nigel-dodds-stay-in-eu-4568351-Mar2019/,"
""I would stay in the European Union and remain, rather than risk Northern Ireland's position,""DUP deputy leader Nigel Dodds tells Nicholas Watt[Tap to expand]@nicholaswatt|#newsnight|@NigelDoddsDUPpic.twitter.com/aEnWyHDgq5— BBC Newsnight (@BBCNewsnight)March 29, 2019BBC Newsnight/ Twitter
""I would stay in the European Union and remain, rather than risk Northern Ireland's position,""DUP deputy leader Nigel Dodds tells Nicholas Watt[Tap to expand]@nicholaswatt|#newsnight|@NigelDoddsDUPpic.twitter.com/aEnWyHDgq5
THE DUP’S DEPUTY leader Nigel Dodds has said that he would prefer staying in the European Union than risking Northern Ireland’s position in the United Kingdom.
Speaking to BBC Newsnightafter Theresa May’s Withdrawal Agreement was defeated for a third time this afternoon, Dodds said that when asked about his preferences:
Advertisement
He went on to say that he wanted Brexit to be delivered and the result of the referendum respected, but added that it “can’t be at the risk of separating Northern Ireland from the rest of the UK”.
The DUP’s 10 MPs voted against Theresa May’s deal this afternoon. It lost by a majority of 58 votes.
After the vote and before MPs left the chamber, Nigel Dodds urged Theresa May to look at the Irish backstop again. “She knows that that remains a problem.”
“She knows that the EU and Leo Varadkar has said that there will be no hard border… Use the time constructively to get that matter sorted out,” he said.
The EU, Taoiseach Leo Varadkar and Theresa May have all repeatedly said that the Withdrawal Agreement is not up for renegotiation.
Readers like you are keeping these stories free for everyone...A mix of advertising and supporting contributions helps keep paywalls away from valuable information like this article.Over 5,000 readers like you have already stepped up and support us with a monthly payment or a once-off donation.Learn MoreSupport The Journal","10.34pm, 29 Mar 2019",
