article_url,comment_text,comment_date,cleaned_comment
https://www.thejournal.ie/boris-johnson-difficult-vote-windsor-framework-6008783-Mar2023/,He should’ve sorted it while he was PM then. Shouting from the sidelines is much easier than actually getting it done.,2023-03-02 16:00:00,he shouldve sorted it while he was pm then shouting from the sidelines is much easier than actually getting it done
https://www.thejournal.ie/boris-johnson-difficult-vote-windsor-framework-6008783-Mar2023/,Empty vessels make plenty of noise,2023-03-02 16:30:00,empty vessels make plenty of noise
https://www.thejournal.ie/boris-johnson-difficult-vote-windsor-framework-6008783-Mar2023/,Who cares,2023-03-02 15:55:00,who cares
https://www.thejournal.ie/boris-johnson-difficult-vote-windsor-framework-6008783-Mar2023/,Complete and utter w- -ker,2023-03-02 16:33:00,complete and utter w ker
https://www.thejournal.ie/boris-johnson-difficult-vote-windsor-framework-6008783-Mar2023/,"Boris, you are as bad as the DUP! Just disappear.",2023-03-02 16:17:00,boris you are as bad as the dup just disappear
https://www.thejournal.ie/boris-johnson-difficult-vote-windsor-framework-6008783-Mar2023/,"Unfortunately there are many people still in the UK who hate the Irish people and do not like when Ireland is doing better than Britain.
It is mostly prevalent amongst the privileged classes.",2023-03-02 17:29:00,unfortunately there are many people still in the uk who hate the irish people and do not like when ireland is doing better than britain it is mostly prevalent amongst the privileged classes
https://www.thejournal.ie/boris-johnson-difficult-vote-windsor-framework-6008783-Mar2023/,"@Roger Bond: You know, in all my times I’ve been in England or NI and every English person I’ve met here in Ireland, I’ve yet to come across anyone that hates the Irish. In fact, they’ve often said how great/sound the Irish are and visa-versa with me.",2023-03-02 18:09:00,roger bond you know in all my times ive been in england or ni and every english person ive met here in ireland ive yet to come across anyone that hates the irish in fact theyve often said how greatsound the irish are and visaversa with me
https://www.thejournal.ie/boris-johnson-difficult-vote-windsor-framework-6008783-Mar2023/,"@Alan Wright: Try listening to phone-in radio programs on BBC Ulster (Talkback, Nolan etc.) or looking at tweets from loyalists or Brexiteers, no shortage of”British” people who resent/hate Ireland or Irishness..",2023-03-02 18:37:00,alan wright try listening to phonein radio programs on bbc ulster talkback nolan etc or looking at tweets from loyalists or brexiteers no shortage ofbritish people who resenthate ireland or irishness
https://www.thejournal.ie/boris-johnson-difficult-vote-windsor-framework-6008783-Mar2023/,"“It’s a matter of great regret that genome edited tomatoes won’t be able to go into a cheese and tomato sandwich in Northern Ireland now”. Seriously, did he honestly say that?
There must be people in his entourage betting money with him before these interviews saying to him, ” i dare you to say this, bet you a tenner you won’t”.",2023-03-02 17:05:00,its a matter of great regret that genome edited tomatoes wont be able to go into a cheese and tomato sandwich in northern ireland now seriously did he honestly say that there must be people in his entourage betting money with him before these interviews saying to him i dare you to say this bet you a tenner you wont
https://www.thejournal.ie/boris-johnson-difficult-vote-windsor-framework-6008783-Mar2023/,@Kevin: British genome edited tomatoes Kevin. You left out the key word.,2023-03-02 18:08:00,kevin british genome edited tomatoes kevin you left out the key word
https://www.thejournal.ie/boris-johnson-difficult-vote-windsor-framework-6008783-Mar2023/,So he’s telling Sunak to renege on the international treaty they signed ensuring a minimum of 15% corporate tax rate less than a year after signing it. Typical Borris,2023-03-02 17:25:00,so hes telling sunak to renege on the international treaty they signed ensuring a minimum of 15 corporate tax rate less than a year after signing it typical borris
https://www.thejournal.ie/boris-johnson-difficult-vote-windsor-framework-6008783-Mar2023/,That turd should not be getting free publicity in the media.,2023-03-02 16:46:00,that turd should not be getting free publicity in the media
https://www.thejournal.ie/boris-johnson-difficult-vote-windsor-framework-6008783-Mar2023/,"HYS not open on AIB dept writedowns?!?
What’s that about?",2023-03-02 16:32:00,hys not open on aib dept writedowns whats that about
https://www.thejournal.ie/boris-johnson-difficult-vote-windsor-framework-6008783-Mar2023/,Step aside you pompous git. Nobody wants to listen to you anymore,2023-03-02 16:54:00,step aside you pompous git nobody wants to listen to you anymore
https://www.thejournal.ie/boris-johnson-difficult-vote-windsor-framework-6008783-Mar2023/,Feck off then and don’t vote it….,2023-03-02 16:54:00,feck off then and dont vote it
https://www.thejournal.ie/boris-johnson-difficult-vote-windsor-framework-6008783-Mar2023/,I suppose the pension bomb that happened to Liz Truss when she brought in tax cuts would have happened to him too if he slashed corporation tax.,2023-03-02 17:11:00,i suppose the pension bomb that happened to liz truss when she brought in tax cuts would have happened to him too if he slashed corporation tax
https://www.thejournal.ie/boris-johnson-difficult-vote-windsor-framework-6008783-Mar2023/,"Does he not wish that he didn’t lie about the £320m on the red bus nor wish that he did better and care for the 1000′s that died of COVID because he was convinced that herd immunity was the way to go, before being convinced that human lives were more important? I bet he wished that he hadn’t been caught having all the booze ups during lockdown?",2023-03-02 19:28:00,does he not wish that he didnt lie about the 320m on the red bus nor wish that he did better and care for the 1000s that died of covid because he was convinced that herd immunity was the way to go before being convinced that human lives were more important i bet he wished that he hadnt been caught having all the booze ups during lockdown
