article_url,article_text,article_date_created,article_date_updated
https://www.thejournal.ie/bujo-planning-permission-3-4544147-Mar2019/,"
AWARD-WINNING DUBLIN BURGER restaurant BuJo has asked Dublin City Council to overturn a 16-year-old planning rule so it can keep selling food to-go at its Sandymount Green outlet.
The firm has applied for retention permission from city planners to give it clearance for “the consumption of food off the subject premises”, which it said would contribute to the “viability of the business”.
A restriction first imposed in 2003 in an original application for a duplex apartment over a ground-floor restaurant forbid the operation of a takeaway at the Dublin 4 site.
At the time, An Bord Pleanála stated that the original development could go ahead on the condition that “the restaurant shall not provide a ‘take-out’ service … in the interest of residential amenity”.
BuJo opened in the space in 2017. In a submission to the council, prepared on its behalf by property advisor RW Nowlan & Associates, the company noted that the “principle uses of a restaurant have changed somewhat” since the early noughties.
It stated that a “vast number of restaurants in the Dublin region” operate some kind of “off-premises food consumption”.
“The subject restaurant is no exception to this, with the adjoining restaurant operators also trading outside the parameters of the traditional restaurant uses,” it said.
Unlike a traditional takeaway shop, BuJo’s submission stated that its food-to-go offering will “blend in with the existing restaurant use” and wouldn’t change how the restaurant looks or currently operates.
Advertisement
BuJo suggested that its ability to sell takeaway food has a direct impact on its bottom line:
Chris Bellew / Fennell PhotographyChris Bellew / Fennell Photography / Fennell Photography
The crux of Bujo’s argument finds some room for manoeuvre in the restriction imposed in 2003.
It stated that the “minor nature” of the takeaway element at the restaurant, the fact that it’s related to the main business and the changes in the wider food industry over the last 16 years mean that “no breach has occurred in the modern sense of restaurant use”.
In response to queries fromFora, a spokesperson for the city authority said: “Dublin City Council are investigating this matter. The Planning Enforcement Section does not comment on specific cases that are under investigation unless a decision has been made to serve an enforcement notice.”
The spokesperson added that “no such decision has been made on this property to date”.
Separately in recent weeks, Mexican burrito bar Boojum Boojum sought permission to retain a takeaway at one of its Dublin locations after the council received a complaint alleging that the service is being operated in contravention of planning rules.
Get our NEW Daily Briefing with the morning’s most important headlines for innovative Irish businesses.
Written by Zuzia Whelan and posted onFora.ie
Readers like you are keeping these stories free for everyone...A mix of advertising and supporting contributions helps keep paywalls away from valuable information like this article.Over 5,000 readers like you have already stepped up and support us with a monthly payment or a once-off donation.Learn MoreSupport The Journal","1.01am, 9 Mar 2019",
https://www.the42.ie/tyrone-dublin-league-report-4546910-Mar2019/,"Kevin O’Brien reports from Croke Park
THIS WIN HAS been a long time coming for Mickey Harte.
The Tyrone boss enjoyed his second ever victory against Jim Gavin, with his latest one arriving six years to the day after the first.
On their first outing at Jones’ Road since the All-Ireland final defeat, Tyrone put away an off-colour Dublin by three points in a confident display.
They consigned the Dubs to their third league defeat of the campaign – the most league losses they’ve ever suffered in Gavin’s tenure.
It means the reigning league and All-Ireland champions are out of the race to reach the Division 1 final – the first year since he’s taken charge that they’ve failed to make the decider.
Kerry, Mayo, Galway and Tyrone are left in the running to meet in the final.
This was a performance that Tyrone will file away for later in the summer. They played out the final 20 minutes with a man less after Niall Sludden’s red card, making the win even more impressive.
Their two-man full-forward line of Mattie Donnelly and man-of-the-match Cathal McShane were in electric form, contributing 1-7 between them.
Crucially, Tyrone delivered early ball into their inside duo and it reaped dividends.
Brian Fenton is tackled by Brian Kennedy.Oisin Keniry / INPHOOisin Keniry / INPHO / INPHO
Richie Donnelly was excellent at midfield too, and his strong form means Tyrone can afford to leave his brother Mattie further forward.
Dublin’s most dangerous attacker in the opening half was Cormac Costello and rattled in his second goal of the campaign just four minutes into the game.
Worryingly for Dublin, the in-form Whitehall Colmcilles forward limped off shortly before the break with a knee injury. Dublin had already lost John Small by that stage, while Tyrone’s Tiernan McCann only last until 12 minutes when a hamstring problem forced him off.
Advertisement
Tyrone’s energy and appetite for work troubled Dublin in the first period. They blew two early goal chances before McShane eventually capitalised on a quality ball inside by Mattie Donnelly.
It was a move that displayed McShane’s brain and brawn. He initially outmuscled David Byrne and his low finish past Stephen Cluxton was a picture of calmness.
Tyrone led by 1-7 to 1-5 at the interval and the sides went tit-for-tat in the third quarter.
The Red Hand’s inside pair of Donnelly and McShane continued to do damage with nearly ever delivery that went into them.
Tyrone’s use of the advanced mark was excellent as Peter Harte and McShane both scored from the experimental rule. Kilkenny slotted over Dublin’s third point from play of the half in the 62nd minute on a night where their attack failed to hit its usual heights.
A late Mannion free was all they could muster in the form of a comeback as Tyrone defended in numbers and sealed the victory.
Scorers for Tyrone:Cathal McShane 1-4 (0-2m, 0-1f), Mattie Donnelly and Peter Harte (0-1m, 0-2f) 0-3 each, Richard Donnelly and Niall Morgan (0-2f) 0-2 each.
Scorers for Dublin:Paul Mannion 0-4 (0-2f, 0-1m), Cormac Costello 1-0, Ciaran Kilkenny and Dean Rock (0-2f) 0-2 each, Brian Fenton and Con O’Callaghan 0-1 each.
1. Niall Morgan (Edendork)
2. Pádraig Hampsey (Coalisland)4. Hugh Pat McGeary (Pomeroy)3. Ronan McNamee (Aghyaran)
5. Tiernan McCann (Killyclogher)
22. Brian Kennedy (Doire Lochain)7. Ben McDonnell (Errigal Ciaran)15. Kieran McGeary (Pomeroy)
12. Conor Meyler (Omagh)9. Richie Donnelly (Trillick)
11. Niall Sludden (Dromore)14. Peter Harte (Errigal Ciaran)6. Frank Burns (Pomeroy)
10. Mattie Donnelly (Trillick)8. Cathal McShane (Owen Roe)

Subs
18. Rory Brennan (Trillick) for McCann (inj, 12)13. Connor McAliskey (Clonloe) for Burns (60)20. Colm Cavanagh (Moy) for McNamee (62)25. Darren McCurry (Edendork) for Kennedy (68)
1. Evan Comerford (Ballymun Kickhams)
2. Jonny Cooper (Na Fianna)3. David Byrne (Naomh Olaf)
4. Cian O’Connor (Kilmacud Crokes)
24. James McCarthy (Ballymund Kickhams)6. Cian O’Sullivan (Kilmacud Crokes)7. John Small (Ballymun Kickhams)
5. Brian Howard (Raheny)8. Brian Fenton (Raheny)
10. Con O’Callaghan (Cuala)12. Niall Scully (Templeogue Synge Street)14. Ciaran Kilkenny (Castleknock)
13. Dean Rock (Ballymun Kickhams)11. Cormac Costello (Whitehall Colmcilles)22. Paul Mannion (Kilmacud Crokes)
Subs
19. Darren Daly (Fingal Ravens) for Small (inj, 30)15. Paddy Andrews (St Brigid’s) for Costello (inj, 35)25. Kevin McManamon (St Jude’s) for Andrews (blood sub, 48)9. Darren Gavin (Lucan Sarsfields) for O’Sullivan (57)26. Eoghan O’Gara (Templeogue Synge Street) for Rock (60)
Referee:Jerome Henry (Mayo)
Subscribe to our new podcast, The42 Rugby Weekly, here:
Subscribe","9.25pm, 16 Mar 2019",
https://www.thejournal.ie/missing-jamie-walsh-garda-appeal-rathfarnham-4556727-Mar2019/,"A FOURTEEN-YEAR-old who went missing in Dublin has been found safe and well.
Jamie Walsh was last seen on the evening of 15 March in Rathfarnham.
Gardaí have thanked the public for their assistance.
Advertisement
Readers like you are keeping these stories free for everyone...A mix of advertising and supporting contributions helps keep paywalls away from valuable information like this article.Over 5,000 readers like you have already stepped up and support us with a monthly payment or a once-off donation.Learn MoreSupport The Journal","7.45pm, 22 Mar 2019",
https://www.thejournal.ie/dept-health-evacuated-4522908-Mar2019/,"LAST UPDATE|4 Mar 2019

TheJournal.ie/ YouTube
THE DEPARTMENT OF Health on Dublin’s Baggot St has reopened after being evacuated this afternoon.
An envelope full of non-hazardous white powder was sent to the building, prompting the evacuation.
Minister for Health Simon Harris was inside at the time. The minister and all staff in the department were removed to safety. It’s understood the minister was not in the room when the envelope was opened.
The Minister has since thanked the emergency services for their diligence in responding to the issue:
Advertisement
Simon Harris TD / TwitterSimon Harris TD / Twitter/ Twitter
Following the discovery, staff members exposed to the powder were told they have to be ‘cleaned’ and isolated, sources said.
Technicians from the Defence Forces have since confirmed that the powder was non-hazardous and was handed over to the Gardaí, who attended the scene along with Defence Force members at the building on Miesian Plaza, the site of the former Bank of Ireland.
A Defence Forces spokesperson confirmed bomb disposal experts had been deployed this afternoon.
We are on scene at an incident in a premises on Baggot Street Lower. To help us deal with the incident the road has been closed. Expect traffic delays and disruption in the area.@aaroadwatch@DCCTrafficpic.twitter.com/J42CWRHTkF— Dublin Fire Brigade (@DubFireBrigade)March 4, 2019Dublin Fire Brigade/ Twitter
We are on scene at an incident in a premises on Baggot Street Lower. To help us deal with the incident the road has been closed. Expect traffic delays and disruption in the area.@aaroadwatch@DCCTrafficpic.twitter.com/J42CWRHTkF
The Department tweeted that emergency services had cleared access to the building shortly after 2.30pm and that staff were allowed return.
The emergency services have now cleared access to the building. Staff may return as required.— Department of Health (@roinnslainte)March 4, 2019
The emergency services have now cleared access to the building. Staff may return as required.
- Additional reporting from Michelle Hennessy at the scene, Daragh Brophy, Sinéad O’Carroll and Garreth MacNamee
Readers like you are keeping these stories free for everyone...A mix of advertising and supporting contributions helps keep paywalls away from valuable information like this article.Over 5,000 readers like you have already stepped up and support us with a monthly payment or a once-off donation.Learn MoreSupport The Journal","12.08pm, 4 Mar 2019",4 Mar 2019
https://www.thejournal.ie/valentines-day-deals-supermarkets-4535989-Mar2019/,"GROCERY SALES INCREASED by 3.5% in the latest retail period thanks, in part, to a bumper Valentine’s trade which saw  the sale of traditional gifts surge.
Traditional Valentine’s Day luxuries such as chocolate and wine received a boost and it was Dunnes Stores which remained Ireland’s top retailer, while Aldi recorded double digit sales growth.
The latest figures show the Irish grocery market grew by 3.5% in the 12 weeks to 24 February 2019, putting the sector on a solid footing as the UK finalises preparations to leave the EU.
After a period of deflation, an upward trajectory in grocery prices is making a significant contribution to growth, according to industry specialists Kantar.Douglas Faughnan, consumer insight director at Kantar Worldpanel, said that grocery prices rose by a further 1.5% in the most recent 12 weeks, marking the first time an increase has been recorded for four consecutive periods since February 2017.
But it was convenience store Valentine’s gifts which saw many shops enjoy a February boost.
Advertisement
He said: “While many shoppers may have treated their other halves to an evening on the town for Valentine’s Day, supermarkets cashed in from those choosing to celebrate at home.
“Convenience continues to be a major priority for people celebrating with a night in.  Valentine’s Day is no different, helping drive overall sales of chilled ready meals and chilled desserts, which grew by 8.4% and 6.9% in the past three months.”

The market has also benefited from a weaker pound.
Faughnan added: ” A stronger euro to sterling exchange rate has made British imported goods and ingredients cheaper, allowing retailers to pass some of those savings on to Irish consumers.  However, with prices already rising as Britain’s exit from the EU draws near, increases are likely to continue for the rest of the year.
“More than €3.5 billion of food is imported to Ireland from the UK, which means currency fluctuation can have a substantial impact on grocery prices.”

Readers like you are keeping these stories free for everyone...A mix of advertising and supporting contributions helps keep paywalls away from valuable information like this article.Over 5,000 readers like you have already stepped up and support us with a monthly payment or a once-off donation.Learn MoreSupport The Journal","9.25pm, 11 Mar 2019",
https://www.thejournal.ie/brexit-newsletter-thejournal-4506615-Mar2019/,"PA Wire / TheJournal.iePA Wire / TheJournal.ie / TheJournal.ie
Updated 21 March
HAVE YOU HEARD? The UK is leaving the European Union at 11pm on 29 March.
That is eight (yes, 8) days from now and we’re still completely unsure of what life will be like on Saturday, 30 March 2019.
Advertisement
TheJournal.iereporter Gráinne Ní Aodha is in Brussels for what is an important day of talks and will be bringing us the latest news throughout the evening.
Whatever your walk in life, you’ll want (and need) to know what’s happening in the coming days. Brexit, particularly a no-deal one, will impact everything from healthcare to transport and the Premier League to Northern Ireland peace.
TheJournal.ieis sending a newsletter roundup to make that task easy for you.
The email covers key happenings, the stand-out quotes, the best reads of the day and more; so it will be the handiest way to stay on top of what is beginning to feel more and more likethestory of our times.
To get the roundup, just enter your email in the box below.
Readers like you are keeping these stories free for everyone...A mix of advertising and supporting contributions helps keep paywalls away from valuable information like this article.Over 5,000 readers like you have already stepped up and support us with a monthly payment or a once-off donation.Learn MoreSupport The Journal","6.31am, 22 Feb 2019",
https://www.thejournal.ie/museum-programme-4553379-Mar2019/,"A HISTORY OF Ireland’s wars, the Irish pictures of a renowned photojournalist and the impact of rural electrification on the lives of women in the home are some of the main features of this year’s National Museum of Ireland programme.
The NMI today launched its 2019 programme, which will see five temporary exhibitions staged by the museum alongside its usual long-term collections.
The museum said its programme will keep in line with its Master Vision Statement 2018 – 2032 with a commitment to engage diverse and new audiences.
The theme of the 2019 programme of events is “Community”.
The five flagship temporary exhibitions which form part of this year’s programme are:
The First Dáil – ‘Marching on the Road to Freedom: Dáil Éireann 1919′
A new exhibition on display at Collins Barracks since January and running until the end of the year, it commemorates the first meeting of Dáil Éireann on 21 January 1919.
Notable artefacts include the ‘Declaration of Independence’ handwritten by Éamon de Valera; boots worn by Harry Boland during his secret trip to the USA; the seal of Dáil Éireann, used by the first and second Dáil.
(A)Dressing Our Hidden Truths – An artistic response to the legacy of mother and baby homes and Magdalene laundries by Alison Lowry
This exhibition is an artistic response to exposing parts of the countries past that were hidden truths for many years, including – the Magdalene Laundries, Mother and Baby Homes, Industrial Schools and rape culture.
It will launch at Collins Barracks next week and run for the remainder of the year.
Advertisement
Henri Cartier-Bresson
An exhibition of 50 images of Ireland – as well as notes, correspondence, original contact prints, and associated artefacts – taken by world-renowned photographer Henri Cartier-Bresson will run at Collins Barracks from May to September.
Kitchen Power: Women’s experiences of rural electrification
An exhibition looking at the impact of rural electrification, and in particular the effect of rural electrification on women in the Irish home in the 1950s and 1960s.
It will run from July this year until May 2020 at National Museum of Ireland – Country Life, in Castlebar, Co Mayo.
Irish Wars
A conference and exhibition commemorating Ireland’s War of Independence and Civil War. The exhibition will open on 3 December this year.
As well as the temporary exhibitions NMI will have its long-term collection spanning archaeology, decorative arts, history, ethnography, folk life and natural history open to the public.
It will also host and sponsor a number of education and community outreach events throughout the year.
‘Preserve and present the stories of Ireland’
Commenting on the upcoming programme, Lynn Scarff – who became director of the NMI in July of last year – said:
“At the National Museum of Ireland, our role is to preserve and present the stories of Ireland and its place in the world and it is with that in mind that we have designed our programme of activities for 2019.
Readers like you are keeping these stories free for everyone...A mix of advertising and supporting contributions helps keep paywalls away from valuable information like this article.Over 5,000 readers like you have already stepped up and support us with a monthly payment or a once-off donation.Learn MoreSupport The Journal","11.43am, 21 Mar 2019",
https://www.thejournal.ie/heres-what-happened-today-saturday-24-4532647-Mar2019/,"NEED TO CATCH up?TheJournal.iebrings you a round-up of today’s news.
IRELAND
Patrick Clear from Wicklow at the National Homeless and Housing Coalition protest on the Samuel Beckett Bridge today.Sam BoalSam Boal
WORLD
A woman takes a photo of the high winds and a high tide at New Brighton, Wirral.PA Wire / PA ImagesPA Wire / PA Images / PA Images
#VENEZUELA:Riots and protesters faced each other off as tensions rose between opposition leader Juan Guaido and President Nicolas Maduroamid a blackout.
Advertisement
#NORTH KOREA:Kim Jong-un may be preparing fora missile or space launch, US news outlet NPR reported, based on satellite images of a key facility near Pyongyang.
#EMPIRE:A Chicago jury indicted American actor Jussie Smolletton 16 felony countsafter allegedly lying to police about being the victim of a racist, homophobic attack.
PARTING SHOT
The higher you climb, the harder you fall.
Brazilian striker Anderson Lopes celebrated a goal for Consadole Sapporo in Japan by jumping over a barrier on the pitch fringes, and fell at least two-metres as there wasquite a drop waiting for himon the other side.
He was fine though, and went on to score his third and fourth goal of the match.
Moral of the story: careful, now.
Readers like you are keeping these stories free for everyone...A mix of advertising and supporting contributions helps keep paywalls away from valuable information like this article.Over 5,000 readers like you have already stepped up and support us with a monthly payment or a once-off donation.Learn MoreSupport The Journal","7.51pm, 9 Mar 2019",
https://www.thejournal.ie/theresa-may-brexit-10-4533012-Mar2019/,"AFTER WEEKS, and months, and years of political wrangling, this week will see the most crucial set of decisions made by British politicians to determine the course of Brexit.
As outlined here, there could be as many as three vital votes in the House of Commons this week with a number of options on the table.
Advertisement
The first option MPs will vote on is set for Tuesday on Theresa May’s much-maligned withdrawal agreement, which contains the Irish backstop provision that is so loathed by the DUP and hardline Brexiteers.
If they vote against Theresa May’s deal, MPs will be asked to vote on if they want a no-deal Brexit on Wednesday.
And, if they vote against a no deal, then they’ll be voting again on Thursday on whether to extend Brexit.
So, what do you think?Which vote is most likely to pass in Westminster this week?Poll Results:Vote to delay Brexit(7010)Vote for no-deal Brexit(1623)Vote for Theresa May's deal(556)Not sure(517)Vote for Theresa May's dealVote for no-deal BrexitVote to delay BrexitNot sureVote","10.24am, 10 Mar 2019",
https://www.thejournal.ie/brexit-judgement-day-4536136-Mar2019/,"LAST UPDATE|12 Mar 2019
THE HOUSE OF Commons will be the stage today as British MPs will vote on Theresa May’s Brexit deal, a day after she secured new assurances from the EU that may give her a chance of getting her deal passed.
It remains to be seen whether the new guarantees will be enough to sway Brexiteers within her own party and the DUP to back her Brexit deal.
Leo Varadkar had been due to travel to Washington, but remained in Dublin this morning.
The Taoiseach said that the new arrangements made do not change the withdrawal agreement or undermine the backstop, and the “doubts and fears” raised by Brexiteers can be put to bed.
He told reporters: “I hope and trust that the withdrawal agreement will now be endorsed by the House of Commons.”
Varadkar added that what has been agreed “reiterates our wish to have as close as possible a future relationship with the UK”.
Chief among the guarantees is on the Irish backstop – the solution that would keep Northern Ireland closely aligned to EU trade rules and thus negate the need for a hard border in Ireland.
The new guarantees say that every effort will be made to ensure the Irish backstop never needs to be enacted and measures through which any attempt to make the backstop apply indefinitely can be legally challenged.
Speaking last night at a joint press conference, European Commission president Jean-Claude Juncker said that the existing withdrawal agreement had not changed, but the guarantees given to the UK “complements the withdrawal agreement without reopening it”.
“In politics sometimes you get a second chance, it is what we do with this second chance that counts because there will be no third chance,” Juncker said. “There will be no further interpretation of the interpretation. No further assurances on the reassurances if the meaningful vote fails [today].”
May, however, claimed that “legally binding changes” to the withdrawal agreement had been secured.
“Now is the time to come together, to back this improved Brexit deal, and to deliver on the instruction of the British people,” May said.
Advertisement
Meanwhile, there is uncertainty whether this will change the legal advice given to the UK government by its attorney general Geoffrey Cox.
Channel 4 news anchor Jon Snow said a source had told him the legal world is aware that the attorney general said “no” to the validity of May’s new EU deal, and has been told to find a way to say yes to it.
This was met with a bizarre tweet in reply by Cox himself, who said simply “bollocks”.

Labour has announced it will vote against the deal, and said the prime minister had “failed”.
“This evening’s agreement with the European Commission does not contain anything approaching the changes Theresa May promised parliament,” said Labour leader Jeremy Corbyn.
Brexit hardliners from May’s Conservative Party and the DUP have said they will scrutinise the documents that have been agreed.
DUP MP Sammy Wilson said this morning that he believes the new arrangements appear to “fall short” of what May has promised, but added that his party would reserve judgement until they heard the Attorney General’s advice.
It will take a major turnaround for May to get this deal through parliament, after it lost by a majority of 230 votes in January.
The vote is due to take place at around 7pm this evening.
Another defeat would set the stage for additional votes in parliament this week that could postpone Brexit and possibly reverse it in the months to come.
If she loses the vote, May has promised to give MPs a vote tomorrow on whether Britain should simply leave without any deal at all.
If MPs would defeat the “no-deal” scenario, it would be followed on Thursday with a vote on requesting a delay from the EU.
With reporting from AFP
Readers like you are keeping these stories free for everyone...A mix of advertising and supporting contributions helps keep paywalls away from valuable information like this article.Over 5,000 readers like you have already stepped up and support us with a monthly payment or a once-off donation.Learn MoreSupport The Journal","7.22am, 12 Mar 2019",12 Mar 2019
