article_url,comment_text,comment_date
https://www.thejournal.ie/no-deal-reached-brexit-3731523-Dec2017/,So they’ve missed the absolute deadline. Time for another absolute deadline.,"Dec 4th 2017, 4:11 PM"
https://www.thejournal.ie/no-deal-reached-brexit-3731523-Dec2017/,@Damocles: Not unusual for Northern Ireland to miss deadlines – this year especially!,"Dec 4th 2017, 4:20 PM"
https://www.thejournal.ie/no-deal-reached-brexit-3731523-Dec2017/,@Damocles: Even sky now turning on the DUP: Before lunch: “agreement close”. During lunch: DUP presser and PM call to DUP leader. After lunch: “not possible to reach agreement today. Enough said.,"Dec 4th 2017, 4:29 PM"
https://www.thejournal.ie/no-deal-reached-brexit-3731523-Dec2017/,Could Brexit be any more of a mess? I reckon there will be another election in the UK in the not so distant future…,"Dec 4th 2017, 4:13 PM"
https://www.thejournal.ie/no-deal-reached-brexit-3731523-Dec2017/,@Evan Cunningham: hopefully …….and Brexit turns out to be just a bad nightmare.,"Dec 4th 2017, 4:19 PM"
https://www.thejournal.ie/no-deal-reached-brexit-3731523-Dec2017/,"@Evan Cunningham: yep, once the DUP pull their support for May","Dec 4th 2017, 4:19 PM"
https://www.thejournal.ie/no-deal-reached-brexit-3731523-Dec2017/,"I knew May would regret the day she jumped into bed with the DUP. She would never have done that if she really understood NI politics. Funny how the DUP conveniently want to be treated exactly the same as mainland UK except for same sex marriage & abortion laws plus their ‘special status’ which requires excessive handouts paid for by the mainland UK citizens, etc etc. Also baffling is that the DUP are not representing the majority of their people who voted to remain in the EU. Ian Paisley was a pussycat compared to the entrenched unionism of Arlene Foster and the DUP","Dec 4th 2017, 5:33 PM"
https://www.thejournal.ie/no-deal-reached-brexit-3731523-Dec2017/,"@Colleen Kilbane: You are right Colleen, but then Paisley was the founder of the DUP who marched his men up the hill and finally did a deal wirh the shinners. Lily livered David Trimble on the other hand wasn’t five minutes in government with the SDLP and he pulled the plug, no wonder they dumped him off to the House of Lords. Arlene Foster shouldn’t even be in politics threatening to pull the plug on her own constituent business people in Enniskillen with her talk of a hard border.","Dec 4th 2017, 8:17 PM"
https://www.thejournal.ie/no-deal-reached-brexit-3731523-Dec2017/,@Chris Kirk: DUP and Teresa May same as ‘the tail wagging the Dog’.,"Dec 4th 2017, 9:49 PM"
https://www.thejournal.ie/no-deal-reached-brexit-3731523-Dec2017/,Couldn’t we just cut off Northern Ireland and place it in that area between Northern Wales and the Isle of Man,"Dec 4th 2017, 4:14 PM"
https://www.thejournal.ie/no-deal-reached-brexit-3731523-Dec2017/,@Whatshisname: you mean the Irish sea?,"Dec 4th 2017, 4:17 PM"
https://www.thejournal.ie/no-deal-reached-brexit-3731523-Dec2017/,@Whatshisname: if only,"Dec 4th 2017, 4:20 PM"
https://www.thejournal.ie/no-deal-reached-brexit-3731523-Dec2017/,"The nonsense the government were spinning at lunchtime that the north would be diverging from the Brexit deal turned out to b completely wrong .RTE were reporting that the deal ensured there would b no hard border .Then Arlene Foster of the DUP played the unionist orange card again like so many unionists in the past.Again as usual the British renege.Until the bigotry of the Unionist bluff is called there will never b peace.Its time the Bowing down to the unionists ceases.If they don’t like the deal emigrate to the UK where their forefathers came from .Its an absolute disgrace that the bigots that are the DUP once again are allowed to stop progress in this country .They have been doing it since the Home rule move in the late 19th century.
Gerry Malone Dundalk","Dec 4th 2017, 5:17 PM"
https://www.thejournal.ie/no-deal-reached-brexit-3731523-Dec2017/,"@Live at Oriel:
Most unionists are of Scots descent & majority of Scots came from gaelic tribes called the Scoti in Ulster supplanting the Picts in Northern Britain between 600-1000 so technically most Unionists live where their forefathers came from.","Dec 4th 2017, 5:45 PM"
https://www.thejournal.ie/no-deal-reached-brexit-3731523-Dec2017/,"@AR Devine: Shhh you’re not allowed to say things like that. Blowing the received narrative gives many people migraines while try to cope with raw historical facts. Nope.. They’re all evil planters on land stolen from honest Irish people who lived in a sunny milk and honey Gaelic/Celtic utopia until they came along. There, that’s better, far simpler.","Dec 4th 2017, 6:27 PM"
